"","Element","AtomicMass","AtomicNumber","FirstIonizationEnergy","AtomicRadius","Block","BoilingPoint","BrinellHardness","CovalentRadius","CrystalStructure","Density","ElectricalConductivity","ElectronAffinity","Electronegativity","FusionHeat","Group","LiquidDensity","MagneticType","MassMagneticSusceptibility","MeltingPoint","MolarMagneticSusceptibility","MolarVolume","Period","Phase","PoissonRatio","Resistivity","Series","SoundSpeed","SpaceGroupNumber","SpecificHeat","ThermalConductivity","ThermalExpansion","Valence","VaporizationHeat","VolumeMagneticSusceptibility","SuperconductingPoint"
"hydrogen","H",1.00794,1,1311.3,53,"s",-252.87,NA,31,"simple_hexagonal",0.0899,NA,72.8,2.2,0.558,1,NA,"diamagnetic",-2.48e-08,-259.14,-5e-11,0.0112,1,"gaseous",NA,NA,"Nonmetal",1270,194,14300,0.1805,NA,1,0.452,-2.23e-09,NA
"helium","He",4.002602,2,2361.3,31,"s",-268.93,NA,28,"face_centered_cubic",0.1785,NA,0,NA,0.02,18,NA,"diamagnetic",-5.9e-09,NA,-2.36e-11,0.02242,1,"gaseous",NA,NA,"NobleGas",970,225,5193.1,0.1513,NA,0,0.083,-1.05e-09,NA
"lithium","Li",6.941,3,519.9,167,"s",1342,NA,128,"body_centered_cubic",535,1.1e+07,59.6,0.98,3,1,512,"paramagnetic",2.56e-08,180.54,1.78e-10,1.3e-05,2,"solid",NA,9.4e-08,"AlkaliMetal",6000,229,3570,85,4.6e-05,1,147,1.37e-05,NA
"beryllium","Be",9.012182,4,898.8,112,"s",2470,600,96,"simple_hexagonal",1848,2.5e+07,0,1.57,7.95,2,1690,"diamagnetic",-1.26e-08,1287,-1.14e-10,4.88e-06,2,"solid",0.032,4e-08,"AlkalineEarthMetal",13000,194,1820,190,1.13e-05,2,297,-2.328e-05,0.026
"boron","B",10.811,5,800.2,87,"p",4000,NA,85,"simple_trigonal",2460,1e-04,26.7,2.04,50,13,2080,"diamagnetic",-8.7e-09,2075,-9.41e-11,4.4e-06,2,"solid",NA,10000,"Metalloid",16200,166,1030,27,6e-06,3,507,-2.14e-05,NA
"carbon","C",12.0107,6,1085.7,67,"p",4027,NA,76,"simple_hexagonal",2260,1e+05,153.9,2.55,105,14,NA,"diamagnetic",-6.2e-09,3550,-7.45e-11,5.31e-06,2,"solid",NA,1e-05,"Nonmetal",18350,194,710,140,7.1e-06,4,715,-1.4e-05,NA
"nitrogen","N",14.0067,7,1401.5,56,"p",-195.79,NA,71,"simple_hexagonal",1.251,NA,7,3.04,0.36,15,NA,"diamagnetic",-5.4e-09,-210.1,-1.5e-10,0.0112,2,"gaseous",NA,NA,"Nonmetal",333.6,194,1040,0.02583,NA,3,2.79,-6.8e-09,NA
"oxygen","O",15.9994,8,1313.1,48,"p",-182.9,NA,66,"base_centered_monoclinic",1.429,NA,141,3.44,0.222,16,NA,"paramagnetic",1.34e-06,-218.3,4.27e-08,0.0112,2,"gaseous",NA,NA,"Chalcogen",317.5,12,919,0.02658,NA,2,3.41,1.91e-06,NA
"fluorine","F",18.9984032,9,1680,42,"p",-188.12,NA,57,"base_centered_monoclinic",1.696,NA,328,3.98,0.26,17,NA,NA,NA,-219.6,NA,0.0112,2,"gaseous",NA,NA,"Halogen",NA,15,824,0.0277,NA,1,3.27,NA,NA
"neon","Ne",20.1791,10,2079.4,38,"p",-246.08,NA,58,"face_centered_cubic",0.9,NA,0,NA,0.34,18,NA,"diamagnetic",-4.1e-09,-248.59,-8.27e-11,0.0224,2,"gaseous",NA,NA,"NobleGas",936,225,1030,0.0491,NA,0,1.75,-3.69e-09,NA
"sodium","Na",22.98976928,11,495.6,190,"s",883,0.69,166,"body_centered_cubic",968,2.1e+07,52.8,0.93,2.6,1,927,"paramagnetic",8.8e-09,97.72,2e-10,2.37e-05,3,"solid",NA,4.7e-08,"AlkaliMetal",3200,229,1230,140,7e-05,1,97.7,8.6e-06,NA
"magnesium","Mg",24.305,12,737.3,145,"s",1090,260,141,"simple_hexagonal",1738,2.3e+07,0,1.31,8.7,2,1584,"paramagnetic",6.9e-09,650,1.68e-10,1.398e-05,3,"solid",0.29,4.4e-08,"AlkalineEarthMetal",4602,194,1020,160,2.5e-05,2,128,1.2e-05,NA
"aluminum","Al",26.9815386,13,577.2,118,"p",2519,245,121,"face_centered_cubic",2700,3.8e+07,42.5,1.61,10.7,13,2375,"paramagnetic",7.8e-09,660.32,2.1e-10,1e-05,3,"solid",0.35,2.6e-08,"PoorMetal",5100,225,904,235,2.31e-05,3,293,2.11e-05,1.175
"silicon","Si",28.0855,14,786,111,"p",2900,NA,111,"tetrahedral_packing",2330,1000,133.6,1.9,50.2,14,2570,"diamagnetic",-1.6e-09,1414,-4.49e-11,1.205e-05,3,"solid",NA,0.001,"Metalloid",2200,227,710,150,2.6e-06,4,359,-3.73e-06,NA
"phosphorus","P",30.973762,15,1011.2,98,"p",280.5,NA,107,"simple_triclinic",1823,1e+07,71,2.19,0.64,15,NA,"diamagnetic",-1.13e-08,44.2,-3.5e-10,1.699e-05,3,"solid",NA,1e-07,"Nonmetal",NA,2,769.7,0.236,NA,5,12.4,-2.06e-05,NA
"sulfur","S",32.065,16,999,87,"p",444.72,NA,105,"face_centered_orthorhombic",1960,1e-15,200,2.58,1.73,16,1819,"diamagnetic",-6.2e-09,115.21,-1.99e-10,1.636e-05,3,"solid",NA,1e+15,"Chalcogen",NA,70,705,0.205,NA,6,9.8,-1.22e-05,NA
"chlorine","Cl",35.453,17,1254.9,79,"p",-34.04,NA,102,"base_orthorhombic",3.214,0.01,349,3.16,3.2,17,NA,"diamagnetic",-7.2e-09,-101.5,-5.11e-10,0.01103,3,"gaseous",NA,100,"Halogen",206,64,478.2,0.0089,NA,5,10.2,-2.31e-08,NA
"argon","Ar",39.948,18,1519.6,71,"p",-185.8,NA,106,"face_centered_cubic",1.784,NA,0,NA,1.18,18,NA,"diamagnetic",-6e-09,-189.3,-2.4e-10,0.02239,3,"gaseous",NA,NA,"NobleGas",319,225,520.33,0.01772,NA,0,6.5,-1.07e-08,NA
"potassium","K",39.0983,19,418.5,243,"s",759,0.363,203,"body_centered_cubic",856,1.4e+07,48.4,0.82,2.33,1,828,"paramagnetic",6.7e-09,63.38,2.62e-10,4.57e-05,4,"solid",NA,7e-08,"AlkaliMetal",2000,229,757,100,NA,1,76.9,5.74e-06,NA
"calcium","Ca",40.078,20,589.4,194,"s",1484,167,176,"face_centered_cubic",1550,2.9e+07,2.37,1,8.54,2,1378,"paramagnetic",1.38e-08,842,5.53e-10,2.586e-05,4,"solid",0.31,3.4e-08,"AlkalineEarthMetal",3810,225,631,200,2.23e-05,2,155,2.139e-05,NA
"scandium","Sc",44.955912,21,630.8,184,"d",2830,750,170,"simple_hexagonal",2985,1800000,18.1,1.36,16,3,2800,"paramagnetic",8.8e-08,1541,3.96e-09,1.506e-05,4,"solid",0.28,5.5e-07,"TransitionMetal",NA,194,567,16,1.02e-05,3,318,0.0002627,0.05
"titanium","Ti",47.867,22,657.8,176,"d",3287,715,160,"simple_hexagonal",4507,2500000,7.6,1.54,18.7,4,4110,"paramagnetic",4.01e-08,1668,1.92e-09,1.062e-05,4,"solid",0.32,4e-07,"TransitionMetal",4140,194,520,22,8.6e-06,4,425,0.0001807,0.4
"vanadium","V",50.9415,23,650.1,171,"d",3407,628,153,"body_centered_cubic",6110,5e+06,50.6,1.63,22.8,5,5500,"paramagnetic",6.28e-08,1910,3.2e-09,8.34e-06,4,"solid",0.37,2e-07,"TransitionMetal",4560,229,489,31,8.4e-06,5,453,0.0003837,5.4
"chromium","Cr",51.9961,24,652.4,166,"d",2671,1120,139,"body_centered_cubic",7190,7900000,64.3,1.66,20.5,6,6300,"antiferromagnetic",4.45e-08,1907,2.31e-09,7.23e-06,4,"solid",0.21,1.3e-07,"TransitionMetal",5940,229,448,94,4.9e-06,6,339,0.0003177,NA
"manganese","Mn",54.938045,25,716.8,161,"d",2061,196,139,"body_centered_cubic",7470,620000,0,1.55,13.2,7,5950,"paramagnetic",1.21e-07,1246,6.65e-09,7.35e-06,4,"solid",NA,1.6e-06,"TransitionMetal",5150,217,479,7.7,2.17e-05,4,220,0.00090387,NA
"iron","Fe",55.845,26,759.1,156,"d",2861,490,132,"body_centered_cubic",7874,1e+07,15.7,1.83,13.8,8,6980,"ferromagnetic",NA,1538,NA,7.09e-06,4,"solid",0.29,9.7e-08,"TransitionMetal",4910,229,449,79,1.18e-05,3,347,NA,NA
"cobalt","Co",58.933195,27,758.1,152,"d",2927,700,126,"simple_hexagonal",8900,1,63.7,1.88,16.2,9,7750,"ferromagnetic",NA,1495,NA,6.6e-06,4,"solid",0.31,6e-08,"TransitionMetal",4720,194,421,100,1.3e-05,4,375,NA,NA
"nickel","Ni",58.6934,28,736.2,149,"d",2913,700,124,"face_centered_cubic",8908,1.4e+07,112,1.91,17.2,10,7810,"ferromagnetic",NA,1455,NA,6.59e-06,4,"solid",0.31,7e-08,"TransitionMetal",4970,225,445,91,1.34e-05,2,378,NA,NA
"copper","Cu",63.546,29,745,145,"d",2562,874,132,"face_centered_cubic",8960,5.9e+07,118.4,1.9,13.1,11,8020,"diamagnetic",-1.08e-09,1084.62,-6.86e-11,7.09e-06,4,"solid",0.34,1.7e-08,"TransitionMetal",3570,225,384.4,400,1.65e-05,2,300,-9.63e-06,NA
"zinc","Zn",65.38,30,905.8,142,"d",907,412,122,"simple_hexagonal",7140,1.7e+07,0,1.65,7.35,12,6570,"diamagnetic",-2.21e-09,419.53,-1.45e-10,9.16e-06,4,"solid",0.25,5.9e-08,"TransitionMetal",3700,194,388,120,3.02e-05,2,119,-1.58e-05,0.85
"gallium","Ga",69.723,31,578.7,136,"p",2204,60,122,"base_orthorhombic",5904,7100000,28.9,1.81,5.59,13,6095,"diamagnetic",-3e-09,29.76,-2.09e-10,1.181e-05,4,"solid",NA,1.4e-07,"PoorMetal",2740,64,371,29,0.00012,3,256,-1.77e-05,1.083
"germanium","Ge",72.63,32,760,125,"p",2820,7270,120,"face_centered_cubic",5323,2000,119,2.01,31.8,14,5600,"diamagnetic",-1.5e-09,938.3,-1.09e-10,1.364e-05,4,"solid",NA,5e-04,"Metalloid",5400,225,321.4,60,6e-06,4,334,-7.98e-06,NA
"arsenic","As",74.9216,33,946.2,114,"p",614,1440,119,"simple_trigonal",5727,3300000,78,2.18,27.7,15,5220,"diamagnetic",-3.9e-09,817,-2.92e-10,1.308e-05,4,"solid",NA,3e-07,"Metalloid",NA,166,328,50,NA,5,32.4,-2.23e-05,NA
"selenium","Se",78.96,34,940.4,103,"p",685,736,120,"simple_monoclinic",4819,NA,195,2.55,5.4,16,3990,"diamagnetic",-4e-09,221,-3.16e-10,1.639e-05,4,"solid",0.33,NA,"Chalcogen",3350,14,321.2,0.52,NA,6,26,-1.93e-05,NA
"bromine","Br",79.904,35,1142,94,"p",59,NA,120,"base_orthorhombic",3120,1e-10,324.6,2.96,5.8,17,3120,"diamagnetic",-4.9e-09,-7.3,-7.83e-10,2.561e-05,4,"liquid",NA,1e+10,"Halogen",NA,64,947.3,0.12,NA,5,14.8,-1.53e-05,NA
"krypton","Kr",83.798,36,1350,87,"p",-153.22,NA,116,"face_centered_cubic",3.75,NA,0,3,1.64,18,NA,"diamagnetic",-4.4e-09,-157.36,-3.69e-10,0.0223,4,"gaseous",NA,NA,"NobleGas",1120,225,248.05,0.00943,NA,2,9.02,-1.65e-08,NA
"rubidium","Rb",85.4678,37,402.8,265,"s",688,0.216,220,"body_centered_cubic",1532,8300000,46.9,0.82,2.19,1,1460,"paramagnetic",2.6e-09,39.31,2.22e-10,5.579e-05,5,"solid",NA,1.2e-07,"AlkaliMetal",1300,229,364,58,NA,1,71,3.98e-06,NA
"strontium","Sr",87.62,38,549,219,"s",1382,NA,195,"face_centered_cubic",2630,7700000,5.03,0.95,8,2,2375,"paramagnetic",1.32e-09,777,1.16e-10,3.332e-05,5,"solid",0.28,1.3e-07,"AlkalineEarthMetal",NA,225,300,35,2.25e-05,2,137,3.47e-06,NA
"yttrium","Y",88.90585,39,615.4,212,"d",3345,588,190,"simple_hexagonal",4472,1800000,29.6,1.22,11.4,3,4240,"paramagnetic",6.66e-08,1526,5.92e-09,1.988e-05,5,"solid",0.24,5.7e-07,"TransitionMetal",3300,194,298,17,1.06e-05,3,380,0.0002978,1.3
"zirconium","Zr",91.224,40,659.7,206,"d",4409,650,175,"simple_hexagonal",6511,2400000,41.1,1.33,21,4,5800,"paramagnetic",1.68e-08,1855,1.53e-09,1.401e-05,5,"solid",0.34,4.2e-07,"TransitionMetal",3800,194,278,23,5.7e-06,4,580,0.000109,0.61
"niobium","Nb",92.90638,41,663.6,198,"d",4744,736,164,"body_centered_cubic",8570,6700000,86.1,1.6,26.8,5,NA,"paramagnetic",2.76e-08,2477,2.56e-09,1.084e-05,5,"solid",0.4,1.5e-07,"TransitionMetal",3480,229,265,54,7.3e-06,5,690,0.000237,9.25
"molybdenum","Mo",95.96,42,684.8,190,"d",4639,1500,154,"body_centered_cubic",10280,2e+07,71.9,2.16,36,6,9330,"paramagnetic",1.17e-08,2623,1.12e-09,9.33e-06,5,"solid",0.31,5e-08,"TransitionMetal",6190,229,251,139,4.8e-06,6,600,0.0001203,0.915
"technetium","Tc",98,43,702.2,183,"d",4265,NA,147,"simple_hexagonal",11500,5e+06,53,1.9,23,7,NA,"paramagnetic",3.42e-08,2157,3.35e-09,8.52e-06,5,"solid",NA,2e-07,"TransitionMetal",NA,194,63,51,NA,6,550,0.0003933,7.7
"ruthenium","Ru",101.07,44,710.3,178,"d",4150,2160,146,"simple_hexagonal",12370,1.4e+07,101.3,2.2,25.7,8,10650,"paramagnetic",5.42e-09,2334,5.48e-10,8.17e-06,5,"solid",0.3,7e-08,"TransitionMetal",5970,194,238,120,6.4e-06,6,580,6.7e-05,0.49
"rhodium","Rh",102.9055,45,719.5,173,"d",3695,1100,142,"face_centered_cubic",12450,2.3e+07,109.7,2.28,21.7,9,10700,"paramagnetic",1.36e-08,1964,1.4e-09,8.27e-06,5,"solid",0.26,4.3e-08,"TransitionMetal",4700,225,240,150,8e-06,6,495,0.0001693,NA
"palladium","Pd",106.42,46,803.5,169,"d",2963,37.2,139,"face_centered_cubic",12023,1e+07,53.7,2.2,16.7,10,10380,"paramagnetic",6.57e-08,1554.9,6.99e-09,8.85e-06,5,"solid",0.39,1e-07,"TransitionMetal",3070,225,240,71,1.18e-05,4,380,0.0007899,NA
"silver","Ag",107.8682,47,730.5,165,"d",2162,24.5,145,"face_centered_cubic",10490,6.2e+07,125.6,1.93,11.3,11,9320,"diamagnetic",-2.27e-09,961.78,-2.45e-10,1.0283e-05,5,"solid",0.37,1.6e-08,"TransitionMetal",2600,225,235,430,1.89e-05,1,255,-2.38e-05,NA
"cadmium","Cd",112.411,48,867.2,161,"d",767,203,144,"simple_hexagonal",8650,1.4e+07,0,1.69,6.3,12,7996,"diamagnetic",-2.3e-09,321.07,-2.59e-10,1.3e-05,5,"solid",0.3,7e-08,"TransitionMetal",2310,194,230,96,3.08e-05,2,100,-1.99e-05,0.517
"indium","In",114.818,49,558,156,"p",2072,8.83,142,"centered_tetragonal",7310,1.2e+07,28.9,1.78,3.26,13,7020,"diamagnetic",-1.4e-09,156.6,-1.61e-10,1.571e-05,5,"solid",NA,8e-08,"PoorMetal",1215,139,233,82,3.21e-05,3,230,-1.02e-05,3.41
"tin","Sn",118.71,50,708.2,145,"p",2602,51,139,"centered_tetragonal",7310,9100000,107.3,1.96,7,14,6990,"diamagnetic",-3.1e-09,231.93,-3.68e-10,1.624e-05,5,"solid",0.36,1.1e-07,"PoorMetal",2500,141,217,67,2.2e-05,4,290,-2.27e-05,3.72
"antimony","Sb",121.76,51,833.3,133,"p",1587,294,139,"simple_trigonal",6697,2500000,103.2,2.05,19.7,15,6530,"diamagnetic",-1.09e-08,630.63,-1.33e-09,1.818e-05,5,"solid",NA,4e-07,"Metalloid",3420,166,207,24,1.1e-05,5,67,-7.3e-05,NA
"tellurium","Te",127.6,52,869,123,"p",988,180,138,"simple_trigonal",6240,10000,190.2,2.1,17.5,16,5700,"diamagnetic",-3.9e-09,449.51,-4.98e-10,2.045e-05,5,"solid",NA,1e-04,"Chalcogen",2610,152,201,3,NA,6,48,-2.43e-05,NA
"iodine","I",126.90447,53,1008.3,115,"p",184.3,NA,139,"base_orthorhombic",4940,1e-07,295.2,2.66,7.76,17,NA,"diamagnetic",-4.5e-09,113.7,-1.14e-09,2.569e-05,5,"solid",NA,1e+07,"Halogen",NA,64,429,0.449,NA,7,20.9,-2.22e-05,NA
"xenon","Xe",131.293,54,1170,108,"p",-108,NA,140,"face_centered_cubic",5.9,NA,0,2.6,2.3,18,NA,"diamagnetic",-4.3e-09,-111.8,-5.65e-10,0.022,5,"gaseous",NA,NA,"NobleGas",1090,225,158.32,0.00565,NA,6,12.64,-2.54e-08,NA
"cesium","Cs",132.9054519,55,375.5,298,"s",671,0.14,244,"body_centered_cubic",1879,5e+06,45.5,0.79,2.09,1,1843,"paramagnetic",2.8e-09,28.44,3.72e-10,7.073e-05,6,"solid",NA,2e-07,"AlkaliMetal",NA,229,242,36,NA,1,64,5.26e-06,NA
"barium","Ba",137.327,56,502.5,253,"s",1870,NA,215,"body_centered_cubic",3510,2900000,13.95,0.89,8,2,3338,"paramagnetic",1.13e-08,727,1.55e-09,3.912e-05,6,"solid",NA,3.5e-07,"AlkalineEarthMetal",1620,229,205,18,2.06e-05,2,140,3.966e-05,NA
"lanthanum","La",138.90547,57,541.1,NA,"f",3464,363,207,"simple_hexagonal",6146,1600000,48,1.1,6.3,NA,5940,"paramagnetic",1.1e-08,919,1.53e-09,2.26e-05,6,"solid",0.28,6.1e-07,"Lanthanide",2475,194,195,13,1.21e-05,3,400,6.761e-05,4.88
"cerium","Ce",140.116,58,540.1,NA,"f",3360,412,204,"simple_hexagonal",6689,1400000,50,1.12,5.5,NA,6550,"paramagnetic",2.2e-07,798,3.08e-08,2.095e-05,6,"solid",0.24,7.5e-07,"Lanthanide",2100,194,192,11,6.3e-06,4,350,0.0014716,0.022
"praseodymium","Pr",140.90765,59,526.6,247,"f",3290,481,203,"simple_hexagonal",6640,1400000,50,1.13,6.9,NA,6500,"paramagnetic",4.23e-07,931,5.96e-08,2.122e-05,6,"solid",0.28,7e-07,"Lanthanide",2280,194,193,13,6.7e-06,4,330,0.0028087,NA
"neodymium","Nd",144.242,60,531.5,206,"f",3100,265,201,"simple_hexagonal",7010,1600000,50,1.14,7.1,NA,6890,"paramagnetic",4.8e-07,1021,6.92e-08,2.058e-05,6,"solid",0.28,6.4e-07,"Lanthanide",2330,194,190,17,9.6e-06,3,285,0.0033648,NA
"promethium","Pm",145,61,536,205,"f",3000,NA,199,NA,7264,1300000,50,NA,7.7,NA,NA,NA,NA,1100,NA,2e-05,6,"solid",0.28,7.5e-07,"Lanthanide",NA,NA,NA,15,1.1e-05,3,290,NA,NA
"samarium","Sm",150.36,62,540.1,238,"f",1803,441,198,"simple_trigonal",7353,1100000,50,1.17,8.5,NA,7160,"paramagnetic",1.11e-07,1072,1.67e-08,2.045e-05,6,"solid",0.27,9.4e-07,"Lanthanide",2130,166,196,13,1.27e-05,3,175,0.00081618,NA
