element;Tc
Y1Ba2.01Cu2.806Cr0.194O7.3;62
Pd0.04Ta1S2;4.2
Y1Pt2Si2;1.5
La1Pt2Si2;1.5
Lu1Pt2Si2;1.9
Ba1Ti2Sb2O1;1.19
Ba1Ti2Sb1.8Sn0.2O1;2.2
Ba1Ti2Sb1.7Sn0.3O1;2.2
Ba1Ti2Sb1.6Sn0.4O1;2.31
Ba1Ti2Sb1.4Sn0.6O1;2.49
Th1Ni1Si1;0.875
Ba2Ti2Fe2As4O1;21.1
Ba2Ti2Fe1.98Cr0.02As4O1;19.1
Ba2Ti2Fe1.96Cr0.04As4O1;15.7
Ba2Ti2Fe1.94Cr0.06As4O1;11.8
Ba2Ti2Fe1.92Cr0.08As4O1;8.21
Ba2Ti2Fe1.9Cr0.1As4O1;5.29
Ba2Ti2Fe1.88Cr0.12As4O1;2.89
Au1Be1;3.3
Tl1Ni2Se2;3.7
Pd1Te2;1.78
Re24Ti5;6
Li0.36M1Fe2As2;43.15
Sr1Au1Si3;1.54
Li0.8Fe1.2Se1H1O1;40
B2Ru1;1.5
Pd1Te2;1.75
La1Fe0.995Mn0.005As1F0.11O0.89;15
La0.99Y0.01Fe0.995Mn0.005As1F0.11O0.89;10.9
La0.97Y0.03Fe0.995Mn0.005As1F0.11O0.89;19
La0.95Y0.05Fe0.995Mn0.005As1F0.11O0.89;21
La0.9Y0.1Fe0.995Mn0.005As1F0.11O0.89;25
La0.85Y0.15Fe0.995Mn0.005As1F0.11O0.89;26
La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89;29.1
La0.8Y0.2Fe1As1F0.11O0.89;33.2
La0.8Y0.2Fe0.999Mn0.001As1F0.11O0.89;31.8
La0.8Y0.2Fe0.998Mn0.002As1F0.11O0.89;31.2
La0.8Y0.2Fe0.992Mn0.008As1F0.11O0.89;25
La0.8Y0.2Fe0.985Mn0.015As1F0.11O0.89;20.2
La0.8Y0.2Fe0.98Mn0.02As1F0.11O0.89;11
La0.8Y0.2Fe0.975Mn0.025As1F0.11O0.89;10.1
La0.8Y0.2Fe0.97Mn0.03As1F0.11O0.89;10.8
La0.8Y0.2Fe0.965Mn0.035As1F0.11O0.89;4.7
Te2Ti1;2.5
Te2Ti1;2.98
Cs1Ca2Fe4As4F2;28.31
K1Ca2Fe4As4F2;33.36
Ce1Rh1Ge3;1.33
Lu1Ru1B2;9.8
Y1Ru1B2;7.8
La1F0.4Bi1S0.899Se1.101O0.6;3.77
La1F0.4Bi1S0.906Se1.094O0.6;3.76
La1F0.4Bi1S0.872Se1.128O0.6;3.76
La1F0.4Bi1S0.863Se1.137O0.6;3.77
La1Fe1Si1H1;9.7
Re6Ti1;6
La1Bi1S2F0.5O0.5;3.7
Mo1S2;12
Nb1Se2;7
Nb1Se1.5Te0.5;3.35
Ge1.67Y1Ge2;3.9
La1Bi1S2F0.5O0.5;2.2
Pr1Bi1S2F0.5O0.5;3.4
Nd1Bi1S2F0.5O0.5;4.8
Eu3Bi2S4F4;1.5
Eu2.5Sr0.5Bi2S4F4;0.87
Eu2Sr1Bi2S4F4;0.48
Ba2Ti2Fe2As4O1;21
Ba2Ti2Fe1.98Cr0.02As4O1;19.1
Ba2Ti2Fe1.96Cr0.04As4O1;15.7
Ba2Ti2Fe1.94Cr0.06As4O1;11.8
Ba2Ti2Fe1.92Cr0.08As4O1;8.16
Bi3S3O2;5.32
Bi2.95La0.05S3O2;4.44
Bi2.95Y0.05S3O2;4.93
La1Ti2Al20;0.3
La1V2Al20;0.15
La1Nb2Al20;1.15
La1Ta2Al20;1.1
Ce1Ir3;3.4
Fe1.07Te0.88S0.12;8.4
Ba1Pt1Sb1;1.64
Ba1Pt1As1;2.8
Ba1Pt1As1;2.895
Ba1Pt1As1;2.195
Ru0.75Rh0.25As1;1.8
Ru0.6Rh0.4As1;1.8
Ce1Ag2Si2;1.41
Be13Th1;0.135
Be13Lu1;0.62
Th1Pd2Ge2;0.62
Y1Pd2Ge2;1.14
Cd2Re2O7;0.99
Ba1Nb2S5;1.09
Ba1Nb2S5;0.95
Ce1Ir1Si3;1.52
Ce1Rh1Si3;0.92
Ba1Pd2As2;3.5
Sn0.1Bi1.1Sb0.9Te2S1;4.31
Sn0.1Bi1.1Sb0.9Te2S1;9.62
Ga1;1.08
Ga1;6.04
Re6Zr1;6.8
