"","Element","AtomicMass","FirstIonizationEnergy","AtomicRadius","Density","ElectronAffinity","FusionHeat","ThermalConductivity","Valence"
"hydrogen","H",1.00794,1311.3,53,0.0899,74.3,0.558,0.1805,1
"helium","He",4.002602,2361.3,31,0.1785,1.5,0.02,0.1513,0
"lithium","Li",6.941,519.9,167,535,61.1,3,85,1
"beryllium","Be",9.012182,898.8,112,1848,1.5,7.95,190,2
"boron","B",10.811,800.2,87,2460,28.2,50,27,3
"carbon","C",12.0107,1085.7,67,2260,155.4,105,140,4
"nitrogen","N",14.0067,1401.5,56,1.251,8.5,0.36,0.02583,3
"oxygen","O",15.9994,1313.1,48,1.429,142.5,0.222,0.02658,2
"fluorine","F",18.9984032,1680,42,1.696,329.5,0.26,0.0277,1
"neon","Ne",20.1791,2079.4,38,0.9,1.5,0.34,0.0491,0
"sodium","Na",22.98976928,495.6,190,968,54.3,2.6,140,1
"magnesium","Mg",24.305,737.3,145,1738,1.5,8.7,160,2
"aluminum","Al",26.9815386,577.2,118,2700,44,10.7,235,3
"silicon","Si",28.0855,786,111,2330,135.1,50.2,150,4
"phosphorus","P",30.973762,1011.2,98,1823,72.5,0.64,0.236,5
"sulfur","S",32.065,999,87,1960,201.5,1.73,0.205,6
"chlorine","Cl",35.453,1254.9,79,3.214,350.5,3.2,0.0089,5
"argon","Ar",39.948,1519.6,71,1.784,1.5,1.18,0.01772,0
"potassium","K",39.0983,418.5,243,856,49.9,2.33,100,1
"calcium","Ca",40.078,589.4,194,1550,3.87,8.54,200,2
"scandium","Sc",44.955912,630.8,184,2985,19.6,16,16,3
"titanium","Ti",47.867,657.8,176,4507,9.1,18.7,22,4
"vanadium","V",50.9415,650.1,171,6110,52.1,22.8,31,5
"chromium","Cr",51.9961,652.4,166,7190,65.8,20.5,94,6
"manganese","Mn",54.938045,716.8,161,7470,1.5,13.2,7.7,4
"iron","Fe",55.845,759.1,156,7874,17.2,13.8,79,3
"cobalt","Co",58.933195,758.1,152,8900,65.2,16.2,100,4
"nickel","Ni",58.6934,736.2,149,8908,113.5,17.2,91,2
"copper","Cu",63.546,745,145,8960,119.9,13.1,400,2
"zinc","Zn",65.38,905.8,142,7140,1.5,7.35,120,2
"gallium","Ga",69.723,578.7,136,5904,30.4,5.59,29,3
"germanium","Ge",72.63,760,125,5323,120.5,31.8,60,4
"arsenic","As",74.9216,946.2,114,5727,79.5,27.7,50,5
"selenium","Se",78.96,940.4,103,4819,196.5,5.4,0.52,6
"bromine","Br",79.904,1142,94,3120,326.1,5.8,0.12,5
"krypton","Kr",83.798,1350,87,3.75,1.5,1.64,0.00943,2
"rubidium","Rb",85.4678,402.8,265,1532,48.4,2.19,58,1
"strontium","Sr",87.62,549,219,2630,6.53,8,35,2
"yttrium","Y",88.90585,615.4,212,4472,31.1,11.4,17,3
"zirconium","Zr",91.224,659.7,206,6511,42.6,21,23,4
"niobium","Nb",92.90638,663.6,198,8570,87.6,26.8,54,5
"molybdenum","Mo",95.96,684.8,190,10280,73.4,36,139,6
"technetium","Tc",98,702.2,183,11500,54.5,23,51,6
"ruthenium","Ru",101.07,710.3,178,12370,102.8,25.7,120,6
"rhodium","Rh",102.9055,719.5,173,12450,111.2,21.7,150,6
"palladium","Pd",106.42,803.5,169,12023,55.2,16.7,71,4
"silver","Ag",107.8682,730.5,165,10490,127.1,11.3,430,1
"cadmium","Cd",112.411,867.2,161,8650,1.5,6.3,96,2
"indium","In",114.818,558,156,7310,30.4,3.26,82,3
"tin","Sn",118.71,708.2,145,7310,108.8,7,67,4
"antimony","Sb",121.76,833.3,133,6697,104.7,19.7,24,5
"tellurium","Te",127.6,869,123,6240,191.7,17.5,3,6
"iodine","I",126.90447,1008.3,115,4940,296.7,7.76,0.449,7
"xenon","Xe",131.293,1170,108,5.9,1.5,2.3,0.00565,6
"cesium","Cs",132.9054519,375.5,298,1879,47,2.09,36,1
"barium","Ba",137.327,502.5,253,3510,15.45,8,18,2
"lanthanum","La",138.90547,541.1,195,6146,49.5,6.3,13,3
"cerium","Ce",140.116,540.1,185,6689,51.5,5.5,11,4
"praseodymium","Pr",140.90765,526.6,247,6640,51.5,6.9,13,4
"neodymium","Nd",144.242,531.5,206,7010,51.5,7.1,17,3
"promethium","Pm",145,536,205,7264,51.5,7.7,15,3
"samarium","Sm",150.36,540.1,238,7353,51.5,8.5,13,3
"europium","Eu",151.964,546.9,231,5244,51.5,9.3,14,3
"gadolinium","Gd",157.25,594.2,233,7901,51.5,10,11,3
"terbium","Tb",158.92535,569,225,8219,51.5,10.8,11,3
"dysprosium","Dy",162.5,567,228,8551,51.5,11.1,11,3
"holmium","Ho",164.93032,574,226,8795,51.5,17,16,3
"erbium","Er",167.259,581,226,9066,51.5,19.9,15,3
"thulium","Tm",168.93421,589,222,9320,51.5,16.8,17,3
"ytterbium","Yb",173.054,603,222,6570,51.5,7.7,39,3
"lutetium","Lu",174.9668,513,217,9841,51.5,22,16,3
"hafnium","Hf",178.49,575.2,208,13310,1.5,25.5,23,4
"tantalum","Ta",180.94788,760.1,200,16650,32.5,36,57,5
"tungsten","W",183.84,769.7,193,19250,80.1,35,170,6
"rhenium","Re",186.207,759.1,188,21020,16,33,48,7
"osmium","Os",190.23,819.8,185,22590,107.6,31,87,6
"iridium","Ir",192.217,868.1,180,22560,152.5,26,150,6
"platinum","Pt",195.084,868.1,177,21450,206.8,20,71,6
"gold","Au",196.966569,889.3,174,19300,224.3,12.5,320,5
"mercury","Hg",200.59,1006,171,13534,1.5,2.29,8.3,2
"thallium","Tl",204.3833,588.9,156,11850,20.7,4.2,46,3
"lead","Pb",207.2,715.2,154,11340,36.6,4.77,35,4
"bismuth","Bi",208.9804,702.9,143,9780,92.7,10.9,8,5
"polonium","Po",209,813.1,135,9196,184.8,13,NA,6
"astatine","At",210,916.3,127,NA,271.6,6,2,7
"radon","Rn",222,1036.5,120,9.73,1.5,3,0.00361,6
